id,bitrate,currentConfiguration,energy,energyDelta,iteration,latency,performance,powerConsumption,quality,runningTime,systemEnergy,time,windowSize
52,9184.156285,-1,48381297.02,295483.8257,699.5,0.061841713,16.17031542,4778066.663,54927.90456,43.21003684,4972544353,1571178894,40
53,9183.408643,-1,47897333.94,295143.9921,699.5,0.061633797,16.22486446,4788671.268,54961.92061,43.11341107,5069996503,1571178981,40
54,9038.196649,-1,51637202.15,295619.3336,699.5,0.065872039,15.18094811,4487781.764,54973.58211,46.04425448,5170762605,1571179071,40
55,9037.65386,-1,51953877.33,296059.6686,699.5,0.066010747,15.14904827,4485022.211,54977.414,46.04290947,5275234739,1571179164,40
56,9037.21664,-1,52298022.13,296760.4886,699.5,0.066581423,15.01920432,4457106.411,54961.24792,46.51121112,5380388465,1571179257,40
57,9037.77896,-1,51828271.07,297494.9664,699.5,0.06576648,15.20531429,4523504.463,54970.0265,45.88325816,5485436717,1571179350,40
58,9037.65386,-1,52279864.58,298683.9064,699.5,0.065972919,15.15773454,4527371.365,55040.22577,46.07594434,5590438275,1571179443,40
59,9037.21664,-1,52525856.71,299141.5314,699.5,0.066059789,15.13780184,4528345.224,54946.71537,46.19310569,5695912865,1571179536,40
60,9037.779103,-1,52103121.15,300434.6664,699.5,0.065702007,15.22023529,4572686.311,54970.69898,45.89933834,5801532944,1571179629,40
61,9037.654003,-1,52243091.26,300606.4957,699.5,0.065840231,15.18828203,4565696.237,54985.07829,45.92225988,5907172776,1571179721,40
62,9037.216783,-1,50565759.3,288904.8564,699.5,0.066006528,15.15001665,4376913.384,54962.65467,46.07755014,14124998880,1571191323,40
63,8931.1512,-1,53779789.36,288920.9971,699.5,0.070162779,14.25257113,4117867.064,54807.76786,49.02435921,54159846.82,1571199851,40
64,8956.208891,-1,54072605.41,291484.5857,699.5,0.070269077,14.23101093,4148120.324,54971.99543,49.04012933,163153830,1571199950,40
65,8956.176935,-1,54471343.26,292953.8343,699.5,0.070269518,14.2309215,4169003.017,54953.23406,49.06822029,273036842.5,1571200049,40
66,8956.740276,-1,54747243.06,295946.2979,699.5,0.070008496,14.28398064,4227291.19,55055.04271,48.95483751,383697466.5,1571200147,40
67,8956.208891,-1,54673681.65,292304.3736,699.5,0.070540654,14.17622245,4143771.822,54955.37528,49.29390595,494224907.3,1571200246,40
68,8956.176935,-1,55744598.2,316295.8593,699.5,0.070712621,14.14174705,4472976.035,54902.9222,49.25978807,605499212.5,1571200346,40
69,8956.740419,-1,75672129.76,368040.6029,699.5,0.070237319,14.23744552,5239958.034,54836.3872,49.00546373,745488156.1,1571200445,40
70,8956.209034,-1,54817251.29,292960.84,699.5,0.070539906,14.17637283,4153122.093,54919.67259,49.191071,862569267.1,1571200544,40
71,8956.177078,-1,55444643.23,295179.3279,699.5,0.070596016,14.1651053,4181246.262,54972.24469,49.36771424,973763426.2,1571200643,40
72,8926.013847,-1,62708915.26,295452.4221,699.5,0.079820373,12.52812987,3701466.315,55034.52034,55.81367866,1092553675,1571200749,40
73,8925.278277,-1,62942494.16,296894.2986,699.5,0.080397553,12.43818954,3692827.56,55006.95296,56.17567713,1219398663,1571200862,40
74,8924.882703,-1,63007598.52,297142.9943,699.5,0.080107794,12.48317991,3709289.456,55038.47731,56.10469032,1346837596,1571200975,40
75,8925.924432,-1,63051482.78,296378.555,699.5,0.079934128,12.51030106,3707784.951,55078.59688,55.78474529,1473899728,1571201087,40
76,8925.278277,-1,63025759.02,295864.4243,699.5,0.080362105,12.44367608,3681641.06,55176.28218,56.11656729,1600471910,1571201200,40
77,8924.882703,-1,63260446.88,297389,699.5,0.080053395,12.49166256,3714883.038,55132.88157,55.98968303,1727878655,1571201313,40
78,8925.924575,-1,62428663.53,295410.8186,699.5,0.080016865,12.49736536,3691856.932,55113.49687,55.80001449,1854548720,1571201426,40
79,8925.278421,-1,63396529.1,297119.2314,699.5,0.080352784,12.44511958,3697684.365,55008.70947,56.17654271,1981573758,1571201538,40
80,8924.882846,-1,63715162.86,296627.0386,699.5,0.080434137,12.43253226,3687825.227,55047.1258,56.41390472,2109330443,1571201652,40
81,8829.389573,-1,75980139.09,295273.5021,699.5,0.096846247,10.32564534,3048889.462,55197.9852,67.51754356,2249065269,1571201776,40
82,8828.390099,-1,76309052.42,295444.7871,699.5,0.097509495,10.25541154,3029907.878,55124.38465,68.04447251,2402628311,1571201913,40
83,8828.301448,-1,76525121.91,294994.0429,699.5,0.097494486,10.25699032,3025751.043,55160.91737,68.10774728,2556271892,1571202050,40
84,8829.113629,-1,76673465.21,295444.315,699.5,0.097227019,10.28520684,3038705.89,55164.05885,67.9523244,2710087881,1571202187,40
85,8828.390099,-1,76293941.35,295932.8764,699.5,0.097172545,10.29097264,3045437.133,55111.95887,67.88704405,2863292135,1571202323,40
86,8828.301448,-1,76275330.2,293537.3071,699.5,0.097701732,10.23523306,3004422.75,55238.366,68.30434817,3016983696,1571202461,40
87,8829.113772,-1,76257603.68,293710.1757,699.5,0.097813179,10.22357124,3002766.905,55253.89346,68.40060721,3170068706,1571202598,40
88,8828.390243,-1,77279208.06,296816.6336,699.5,0.09794529,10.20978139,3030432.941,55128.82659,68.57724793,3324494074,1571202736,40
89,8828.301592,-1,76588761.37,296494.2721,699.5,0.097386198,10.26839554,3044520.462,55162.26845,68.00583353,3479484875,1571202873,40
90,9183.744281,-1,32264703.31,169453.9879,699.5,0.072197883,13.85082164,2347076.963,55775.15589,50.42271242,3589448718,1571202992,40
91,9184.058841,-1,32015822.64,166150.5757,699.5,0.072484278,13.79609514,2292229.15,55785.8728,50.6329476,3654351705,1571203095,40
92,9183.302831,-1,31897428.46,166390.8114,699.5,0.071983911,13.89199308,2311500.001,55805.66691,50.19270639,3718686164,1571203196,40
93,9185.012134,-1,31498313.01,165490.5136,699.5,0.0719169,13.9049376,2301135.264,55790.48363,50.1096198,3782621740,1571203298,40
94,9184.058841,-1,31522383.2,164723.0271,699.5,0.072066314,13.8761087,2285714.629,55831.32471,50.33692876,3846455761,1571203400,40
95,9183.302831,-1,31673170.47,163966.1764,699.5,0.072373812,13.8171525,2265545.664,55849.06967,50.52670904,3910165422,1571203502,40
96,9185.012276,-1,31295261.67,164105.7764,699.5,0.071730032,13.94116212,2287825.235,55766.22109,50.13442615,3973588587,1571203603,40
97,9184.058985,-1,31139232.58,163228.4707,699.5,0.072545449,13.78446229,2250016.7,55736.68599,50.6992415,4036912097,1571203705,40
98,9183.302974,-1,31338108.87,163797.9579,699.5,0.072647951,13.76501311,2254681.037,55728.84496,50.65595648,4100425453,1571203808,40
99,9038.255274,-1,33883498.58,163686.8057,699.5,0.07798921,12.82228664,2098839.143,55860.74675,54.52378892,4166419631,1571203914,40
100,9037.627113,-1,33675017.07,163044.555,699.5,0.077731264,12.86483653,2097541.547,55787.12563,54.34323228,4234521542,1571204024,40
101,9037.179582,-1,33647500.76,162969.0043,699.5,0.078121735,12.80053504,2086090.45,55864.92024,54.55984319,4302540302,1571204134,40
