id,currentConfiguration,energy,energyDelta,iteration,latency,performance,powerConsumption,quality,runningTime,systemEnergy,time,windowSize
100,-1,4420161.04,86274.67,49.5,0.027100239,36.90004385,3183539.106,4.874452219,1.380551722,567171544.4,1571859539,20
101,-1,2493639.85,53743.72,49.5,0.01684268,59.37297398,3190924.489,3.230076499,0.782337518,574124041.9,1571859541,20
102,-1,2000087.57,38269.73,49.5,0.011658342,85.77549105,3282604.883,2.46204864,0.622416084,579277164.7,1571859543,20
103,-1,1725840.17,34740.39,49.5,0.010320358,96.8958609,3366199.997,1.873991139,0.522439265,582858088.8,1571859544,20
104,-1,2924273.07,62700.68,49.5,0.019839897,50.40348708,3160332.914,3.230076499,0.923860438,587617150.9,1571859546,20
105,-1,1872721.18,36115.37,49.5,0.011257608,88.82881742,3208085.608,2.46204864,0.585822349,593056475.6,1571859547,20
106,-1,1813674.58,36522.27,49.5,0.010737548,93.13113308,3401360.388,1.873991139,0.563601236,596732969.4,1571859549,20
107,-1,1449568.09,38177.6,49.5,0.008774731,113.9636055,4350856.944,1.109086599,0.444513817,599918171.4,1571859550,20
108,-1,2742695.26,51481.32,49.5,0.015548334,64.31557183,3311050.534,2.46204864,0.853962364,604238242.9,1571859551,20
109,-1,1688921.45,32492.88,49.5,0.009914656,100.8607895,3277257.53,1.873991139,0.529277928,608310923.7,1571859552,20
110,-1,1254762.98,24879.69,49.5,0.007366424,135.7510854,3377444.921,1.109086599,0.384538434,611175575.2,1571859553,20
111,-1,1111090.94,23443.47,49.5,0.006548998,152.6951063,3579703.143,0.783999953,0.332889755,613543498,1571859554,20
112,-1,8836982.43,178802.37,49.5,0.056737437,17.62504703,3151400.181,9.498101501,2.808793736,623528049.5,1571859557,20
113,-1,10490434.84,175955.74,49.5,0.054937019,18.2026621,3202862.88,6.499269781,3.27709105,643242708,1571859563,20
114,-1,4193044.11,85764.05,49.5,0.02658268,37.61847976,3226313.179,4.306769133,1.297738066,654780565.9,1571859567,20
115,-1,2728181.46,53851.41,49.5,0.016619885,60.16888817,3240179.466,3.282731442,0.851381428,662116561.4,1571859569,20
116,-1,5131532.56,100163.04,49.5,0.031610403,31.63515499,3168673.294,6.499269781,1.626020474,670067876.2,1571859571,20
117,-1,3002366.44,63497.11,49.5,0.019596093,51.03058121,3240294.429,4.306769133,0.924155078,678036407.2,1571859574,20
118,-1,2655452.89,49925,49.5,0.015340195,65.18822084,3254521.926,3.282731442,0.814100435,684171429.4,1571859576,20
119,-1,1879213.11,41907.7,49.5,0.011763453,85.00904954,3562533.746,2.498654852,0.583551717,688507948.8,1571859577,20
120,-1,4765337.59,94631.51,49.5,0.029413354,33.99816242,3217297.447,4.306769133,1.481053112,695292698.1,1571859579,20
121,-1,2170244.4,40479.86,49.5,0.01260977,79.30358574,3210198.048,3.282731442,0.67579267,702330791.1,1571859582,20
122,-1,1538298.54,29485.67,49.5,0.008928308,112.0032984,3302492.297,2.498654852,0.481863954,705905682.5,1571859583,20
123,-1,1504435.85,35914.57,49.5,0.009094512,109.9564165,3949037.417,1.47878221,0.464805207,708868252.3,1571859584,20
124,-1,2817553.17,53243.83,49.5,0.016539655,60.46075424,3219162.121,3.282731442,0.875900848,713221413.9,1571859585,20
125,-1,50658899.6,538962.4,49.5,0.167288575,5.977694526,3221752.588,2.498654852,15.72297431,766562777.8,1571859601,20
