id,cost,currentConfiguration,energy,energyDelta,iteration,latency,performance,powerConsumption,reliability,responseTime,runningTime,SOAperf,systemEnergy,time,windowSize
94,31.8,-1,4379534.621,223031.8133,749.5,0.00664717,150.4399709,33552899.52,0.7,1.107170835,4.984379526,36.17011743,839056038.6,1571694873,80
95,34.23,-1,4418381.549,225428.692,749.5,0.006647638,150.4293777,33911097.85,0.729333333,0.919708326,4.985532899,18.43383642,847990185.5,1571694883,80
96,21.9,-1,4276815.133,225744.134,749.5,0.006646233,150.461162,33965724.71,0.55,1.751380137,4.984448648,8.087780755,856981188.5,1571694893,80
97,24.23,-1,4463956.494,226467.4567,749.5,0.006654696,150.2698355,34031227.47,0.574,1.577150655,4.994160471,148.5484628,865990901.5,1571694904,80
98,26.88,-1,3890275.481,226723.126,749.5,0.006636679,150.6777781,34162136.88,0.644,1.410126388,4.976722397,232.2887329,874984176.2,1571694914,80
99,29.6,-1,4319180.186,226721.7533,749.5,0.006638374,150.6392943,34153204.92,0.678,1.267676502,4.979363786,14.73327102,883964722.4,1571694924,80
100,32.26,-1,4241976.891,226155.664,749.5,0.006645197,150.4846302,34032951.45,0.729333333,1.051201242,4.983696885,14.45634586,892934375.6,1571694934,80
101,34.75,-1,4394476.097,227131.8647,749.5,0.006652426,150.3211062,34142713.15,0.756666667,0.93050631,4.989241086,33.47934451,901923386.4,1571694945,80
102,23.3,-1,4063984.365,221681.8813,749.5,0.006655382,150.2543463,33308666.17,0.569333333,1.625778669,4.991556823,8.174189628,910929319.7,1571694955,80
103,25.67,-1,4542822.92,227409.8893,749.5,0.006665518,150.0258395,34117359.56,0.588666667,1.484313505,5.011419115,14.79591883,919945421.9,1571694965,80
104,28.23,-1,4576735.082,229526.6807,749.5,0.00665553,150.2509948,34486612.11,0.631333333,1.253859416,4.991779908,9.151824627,928926112.1,1571694976,80
105,30.3,-1,4593926.749,230165.3653,749.5,0.006642018,150.5566459,34652925.41,0.666666667,1.130057114,4.981790443,19.23156616,937936785.7,1571694986,80
106,33.25,-1,4420190.227,230213.432,749.5,0.006638669,150.6326003,34677647.88,0.712,0.972525305,4.978781346,21.44337505,946933614.5,1571694996,80
107,35.62,-1,4524433.072,229988.8153,749.5,0.006650113,150.3733751,34584194.39,0.734,0.850776541,4.987091951,15.2971043,955927479.7,1571695007,80
108,24.85,-1,4241176.777,224194.9047,749.5,0.006657211,150.2130442,33676999.13,0.61,1.454156387,4.986289319,34.61004687,964882465.1,1571695017,80
109,26.49,-1,4410591.81,225351.9853,749.5,0.006657887,150.1978142,33847375.61,0.598666667,1.474025217,4.996712204,9.573865575,973912369.3,1571695027,80
110,29.2,-1,4458283.917,226299.554,749.5,0.006666313,150.0079612,33946734.72,0.676666667,1.254578978,4.999839378,12.14989969,982932360.9,1571695038,80
111,31.59,-1,4408829.279,227356.42,749.5,0.006648243,150.4156752,34197969.42,0.692666667,1.083753917,4.986719028,14.86386117,991956259.5,1571695048,80
112,33.85,-1,4421676.307,227996.0867,749.5,0.006649447,150.3884359,34287974.86,0.738666667,0.950789049,4.986747594,80.37499099,1000971503,1571695058,80
113,35.81,-1,4242208.053,227692.7767,749.5,0.006659847,150.1536045,34188891.14,0.760666667,0.838256221,4.995716083,21.90124351,1009996300,1571695069,80
114,26.06,-1,4514180.875,229381.8673,749.5,0.006662152,150.1016423,34430595,0.594,1.353340686,4.995023796,11.65164619,1019002901,1571695079,80
115,27.91,-1,4577464.423,229596.2633,749.5,0.006643548,150.5219691,34559281.64,0.632,1.259587391,4.983776658,10.97398185,1028034848,1571695089,80
