id,bitrate,currentConfiguration,energy,energyDelta,iteration,latency,performance,powerConsumption,quality,runningTime,systemEnergy,time,windowSize
62,1797.483263,-1,32628362.89,154181.6443,699.5,0.080858721,12.36724975,1906802.902,47068.38279,56.21537124,218595363,1571450163,40
63,1770.355765,-1,33276093.31,154830.1121,699.5,0.081395834,12.28564111,1902187.19,47059.20577,56.87047138,285714272.9,1571450278,40
64,165.5618209,-1,14414467.97,154501.8821,699.5,0.035929916,27.83196023,4300090.239,42521.89058,24.53901871,334077763.5,1571450360,40
65,159.5751818,-1,14444279.85,155313.3943,699.5,0.03596706,27.80321773,4318212.118,42473.31106,24.54228533,364067930,1571450411,40
66,8798.114962,-1,46241747.52,156247.1271,699.5,0.11144373,8.973138276,1402027.077,56542.36261,77.72602977,425730353.1,1571450516,40
67,8828.34533,-1,46065282.03,156135.9593,699.5,0.111955856,8.932091969,1394620.748,56566.1818,78.29380108,519012258.3,1571450673,40
68,1797.483263,-1,33091002.44,154924.2221,699.5,0.080766906,12.38130874,1918164.626,47174.85334,56.30199062,599214605.7,1571450809,40
69,1770.355765,-1,33631661.46,155163.9236,699.5,0.081343201,12.29359051,1907521.738,47100.04428,56.82784962,666456072.5,1571450923,40
70,165.5618209,-1,14547228.92,154989.37,699.5,0.035919664,27.83990401,4314889.184,42563.9748,24.54897842,714928095.1,1571451006,40
71,159.5751818,-1,14034286.53,154756.1736,699.5,0.035792231,27.93902367,4323736.397,42456.70465,24.41782106,744801622.4,1571451056,40
72,9152.784541,-1,37212694.68,324725.9071,699.5,0.043134578,23.18325676,7528204.082,55835.11672,30.16806463,797354435.7,1571451113,40
73,9184.058841,-1,37759775.77,328649.2086,699.5,0.043349679,23.06822137,7581352.697,55833.5615,30.24569535,873361789.4,1571451174,40
74,2001.275813,-1,22345483.77,325489.27,699.5,0.025853806,38.67902433,12589607.39,46605.65248,17.92867645,934294954.4,1571451223,40
75,1974.571369,-1,22617430.87,326059.5114,699.5,0.025932097,38.56224932,12573588.17,46621.94049,18.03734511,979762148.9,1571451259,40
76,174.3884606,-1,10333637.93,316685.7,699.5,0.012704299,78.71351366,24927444.17,41611.76744,8.661535937,1013423069,1571451287,40
77,167.3052045,-1,10750114.97,319618.8521,699.5,0.012772731,78.29179462,25023533.53,41479.19523,8.692381211,1035521490,1571451305,40
78,9152.812144,-1,37883594.64,335340.1479,699.5,0.042859261,23.33218007,7824216.713,55846.14694,29.90254647,1085278965,1571451344,40
79,9184.058841,-1,38736643.36,334886.85,699.5,0.043480284,22.9989297,7702039.121,55883.83295,30.38136541,1163018835,1571451405,40
80,2001.275813,-1,22619775.9,329343.3343,699.5,0.025809169,38.74592064,12760710.69,46650.65882,17.94006183,1225013455,1571451454,40
81,1974.571369,-1,22663995.12,329819.7307,699.5,0.026272919,38.06200646,12553600.72,46533.76273,18.29616768,1271385809,1571451491,40
82,174.3884606,-1,10786607.21,320398.0471,699.5,0.01272536,78.58324134,25177917.06,41424.46181,8.67711849,1305756383,1571451519,40
83,167.3052045,-1,10666760.93,320557.2064,699.5,0.012798606,78.13350619,25046258.47,41451.63425,8.760310589,1328162987,1571451537,40
84,8798.142564,-1,60448820.99,332399.3064,699.5,0.068245447,14.65299223,4870644.455,56322.31301,47.71009922,1400451370,1571451595,40
85,8828.34533,-1,60313315.91,332452.6479,699.5,0.068371216,14.62603794,4862465.04,56390.62676,47.54950853,1521535749,1571451690,40
86,1797.483263,-1,42597979.31,331194.1707,699.5,0.048812276,20.48664973,6785058.968,47091.80089,33.95388196,1625918639,1571451773,40
87,1770.355765,-1,42700640.33,327370.1336,699.5,0.049139786,20.35010893,6662017.878,47126.44445,34.21592431,1712254192,1571451842,40
88,165.5618209,-1,18765313.72,318352.9721,699.5,0.022732194,43.99047517,14004498.52,42713.11167,15.53813815,1774600069,1571451893,40
89,159.5751818,-1,19044382.69,318685.9829,699.5,0.022725937,44.00258607,14023007.39,42704.61887,15.50221468,1813591507,1571451925,40
90,8798.114962,-1,60318639.74,335011.2786,699.5,0.067893104,14.72903643,4934393.325,56353.04454,47.29064904,1894203454,1571451989,40
91,8828.34533,-1,60054937.56,333021.2543,699.5,0.067902133,14.7270778,4904429.922,56349.25385,47.20540089,2015537591,1571452085,40
92,1797.483263,-1,42188071.02,328409.9143,699.5,0.048795272,20.49378899,6730363.486,47148.56394,33.97795716,2119277645,1571452167,40
93,1770.355765,-1,42000960.18,330040.9364,699.5,0.048926873,20.43866588,6745596.426,47195.94703,34.14192109,2205361478,1571452236,40
94,165.5618209,-1,19257782.72,322499.2993,699.5,0.022725428,44.00357201,14191121.14,42736.16144,15.53758075,2267943817,1571452286,40
95,159.5751818,-1,19065197.7,319453.8807,699.5,0.022754726,43.9469138,14039012.16,42626.1181,15.55630487,2307360772,1571452319,40
96,9139.370362,-1,26168016.77,183516.0529,699.5,0.053036096,18.85508299,3460210.407,56475.86853,37.03539563,2353831420,1571452372,40
97,9183.908536,-1,25668089.95,181599.8614,699.5,0.053129753,18.82184538,3418044.513,56382.15297,37.04889301,2405937952,1571452448,40
98,2012.672286,-1,14970448.15,180327.2707,699.5,0.031384409,31.86295499,5745759.71,47018.157,21.80702659,2447265061,1571452508,40
99,1975.258795,-1,14999470.85,180091.2693,699.5,0.0314592,31.7872037,5724597.862,47139.09848,21.81134091,2477908190,1571452552,40
100,176.8951202,-1,7452894.361,174269.4993,699.5,0.016123366,62.02178804,10808505.95,39228.4173,11.17248351,2501016018,1571452586,40
101,167.4234373,-1,7419360.198,173723.5636,699.5,0.016227888,61.62231259,10705247.74,39327.7231,11.23117058,2516427889,1571452609,40
102,9139.409596,-1,25098167.69,180336.0879,699.5,0.052888901,18.90755886,3409715.195,56274.78097,36.87916287,2549750213,1571452659,40
103,9183.908536,-1,25321949.08,180052.56,699.5,0.053022228,18.86001466,3395793.921,56567.94441,36.94309469,2601009459,1571452733,40
104,2012.672286,-1,14656713.95,178405.3214,699.5,0.031294249,31.95475262,5700897.912,47146.72575,21.71595045,2641795517,1571452793,40
