,cpufreq,uncore_min,uncore_max,reducermaxSizeInFlight,shufflefilebuffer,shufflesortbypassMergeThreshold,speculationinterval,speculationmultiplier,speculationquantile,broadcastblockSize,iocompressionsnappyblockSize,kryoserializerbuffermax,kryoserializerbuffer,drivermemory,executormemory,networktimeout,localitywait,taskmaxFailures,shufflecompress,memoryfraction,shufflespillcompress,broadcastcompress,memorystorageFraction
1788,1200000,10,10,91,57,830,730,5,0.7999999999999999,62,84,52,96,11,8,220,1,2,1,0.8999999999999999,1,0,1.0
1789,1200000,15,15,124,53,100,190,2,1.0,8,101,92,46,8,13,440,4,3,1,0.7999999999999999,1,1,0.6
1790,1200000,10,10,87,40,260,320,4,0.6,42,26,72,26,10,12,260,5,2,0,0.7,1,0,0.8999999999999999
1791,2400000,30,30,115,97,270,680,3,0.7,58,46,74,126,10,8,140,4,6,0,0.6,0,0,0.7
1792,1800000,10,10,63,84,490,770,4,1.0,20,91,110,44,10,11,360,2,5,1,1.0,1,0,0.7
1793,1200000,30,30,91,84,290,610,3,0.5,38,89,40,52,9,17,120,2,2,1,0.6,0,1,0.6
1794,3000000,15,15,70,52,710,640,1,0.7,6,83,52,90,13,9,480,10,7,1,0.6,0,0,0.8999999999999999
1795,3000000,20,20,117,78,190,1000,1,0.7999999999999999,60,115,32,64,10,8,420,4,1,1,0.7,0,1,0.7
1796,2400000,10,10,41,45,540,870,5,1.0,18,40,24,34,11,8,140,5,2,1,0.7999999999999999,1,0,1.0
1797,3000000,10,10,91,60,760,640,4,0.7999999999999999,58,58,66,82,13,14,460,4,3,1,0.8999999999999999,0,0,0.5
1798,3000000,20,20,33,68,140,330,2,0.8999999999999999,16,42,42,66,13,10,480,6,5,0,0.7,0,1,0.7999999999999999
1799,1800000,15,15,39,103,170,990,3,1.0,52,127,36,78,10,11,440,7,3,0,0.7999999999999999,1,0,1.0
1800,2400000,10,10,52,115,700,920,3,1.0,56,39,60,104,11,11,240,4,4,1,1.0,0,1,0.5
1801,2400000,30,30,68,122,690,670,1,0.7,52,125,32,88,11,18,240,3,7,1,0.8999999999999999,0,0,0.8999999999999999
